Model,Accuracy,Macro_F1,ROC_AUC_OVR
LogisticRegression,0.42396374783419966,0.36479667663497334,0.8059533190775333
RandomForest,0.8639655249011506,0.3317926281035407,0.7088086889902331
SVM,0.6039806299702342,0.313068868682015,0.7040248978935998
